Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
16,520.9,8m 40.9s,38.95689265,-95.27493327,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
17,521,8m 41s,38.95689266,-95.27493328,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.5,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
18,521.1,8m 41.1s,38.95689267,-95.27493327,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.1,-2.2,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
19,521.2,8m 41.2s,38.95689272,-95.2749332,Auto Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,NaN,NaN,9.0,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,-0.1,-0.3,0.3,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
20,521.3,8m 41.3s,38.95689277,-95.27493313,Auto Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,9.0,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,-0.3,0,0.7,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
21,521.4,8m 41.4s,38.95689287,-95.27493305,Auto Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.3,0.1,38.95689271,-95.27493322,16,5,60,11.707,0.001,3.902,3.903,3.902,0,0,-0.4,0.1,0.6,-174.6,185.4,1024,1024,1024,1024,1024,,,,,Home Point Updated
22,521.5,8m 41.5s,38.95689299,-95.27493298,Auto Takeoff,0.3,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,38.95689271,-95.27493322,16,5,60,11.707,0.001,3.902,3.903,3.902,0,0,-0.5,0.4,0.8,-174.5,185.5,1024,1024,1024,1024,1024,,,Home Point Recorded. RTH Altitude:  30m.,,
23,521.6,8m 41.6s,38.95689313,-95.27493288,Auto Takeoff,0.3,0.1,1.0,0.3,0.2,0.1,0.0,0.0,0.3,0.1,38.95689271,-95.27493322,16,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.5,-0.2,1,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
24,521.7,8m 41.7s,38.95689328,-95.2749328,Auto Takeoff,0.7,0.2,1.0,0.3,0.2,0.1,0.0,0.0,0.3,0.1,38.95689271,-95.27493322,16,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.5,-1.1,0.7,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
25,521.8,8m 41.8s,38.95689348,-95.27493273,Auto Takeoff,0.7,0.2,1.0,0.3,0.2,0.1,0.0,0.0,0.4,0.1,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.5,-1.6,0.6,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
26,521.9,8m 41.9s,38.95689366,-95.27493267,Auto Takeoff,1.0,0.3,1.0,0.3,0.4,0.2,1.1,0.5,0.4,0.1,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0.2,0,-0.5,-2.4,0.8,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
27,522,8m 42s,38.95689385,-95.27493269,Auto Takeoff,1.0,0.3,1.3,0.4,0.2,0.1,0.0,0.0,0.4,0.1,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.4,-3.5,1,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
28,522.1,8m 42.1s,38.956894,-95.27493273,Auto Takeoff,1.3,0.4,1.3,0.4,0.2,0.1,0.0,0.0,0.5,0.2,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.4,-3.1,0.7,-174.8,185.2,1024,1024,1024,1024,1024,,,,,
29,522.2,8m 42.2s,38.95689413,-95.27493278,Auto Takeoff,1.3,0.4,1.3,0.4,0.2,0.1,0.0,0.0,0.6,0.2,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0.1,0,-0.3,-2.9,0.6,-174.8,185.2,1024,1024,1024,1024,1024,,,,,
30,522.3,8m 42.3s,38.95689422,-95.27493282,Auto Takeoff,1.3,0.4,1.3,0.4,0.0,0.0,1.1,0.5,0.6,0.2,38.95689271,-95.27493322,17,5,60,11.707,0.001,3.902,3.903,3.902,0,0,-0.3,-2.6,0.2,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
31,522.4,8m 42.4s,38.95689431,-95.27493292,Auto Takeoff,1.6,0.5,1.6,0.5,0.0,0.0,1.1,0.5,0.6,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.3,-2.4,0.1,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
32,522.5,8m 42.5s,38.95689439,-95.27493302,Auto Takeoff,1.6,0.5,1.6,0.5,0.0,0.0,0.0,0.0,0.6,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.4,-2.1,0.1,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
33,522.6,8m 42.6s,38.95689446,-95.27493311,Auto Takeoff,2.0,0.6,2.0,0.6,0.0,0.0,0.0,0.0,0.7,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.4,-1.8,0,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
34,522.7,8m 42.7s,38.95689453,-95.27493319,Auto Takeoff,2.0,0.6,2.0,0.6,0.0,0.0,0.0,0.0,0.7,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.4,-1.7,0,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
35,522.8,8m 42.8s,38.9568946,-95.27493326,Auto Takeoff,2.3,0.7,2.3,0.7,0.0,0.0,1.1,0.5,0.8,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.4,-1.9,-0.2,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
36,522.9,8m 42.9s,38.95689465,-95.27493334,Auto Takeoff,2.3,0.7,2.3,0.7,0.0,0.0,0.0,0.0,0.8,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-2.1,-0.3,-174.5,185.5,1024,1024,1024,1024,1024,,,,,
37,523,8m 43s,38.95689474,-95.27493337,Auto Takeoff,2.6,0.8,2.6,0.8,0.0,0.0,1.1,0.5,0.8,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-2.2,-0.6,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
38,523.1,8m 43.1s,38.95689483,-95.27493339,Auto Takeoff,2.6,0.8,2.6,0.8,0.0,0.0,0.0,0.0,0.8,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-2.4,-0.4,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
39,523.2,8m 43.2s,38.95689488,-95.27493339,Auto Takeoff,3.0,0.9,3.0,0.9,0.0,0.0,0.0,0.0,0.8,0.2,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-2.6,-0.7,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
40,523.3,8m 43.3s,38.95689492,-95.2749334,Auto Takeoff,3.0,0.9,3.0,0.9,0.0,0.0,0.0,0.0,0.8,0.3,38.95689271,-95.27493322,17,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-2.9,-0.8,-174.8,185.2,1024,1024,1024,1024,1024,,,,,
41,523.4,8m 43.4s,38.956895,-95.27493337,Auto Takeoff,3.3,1.0,3.3,1.0,0.0,0.0,0.0,0.0,0.9,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-3.2,-0.4,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
42,523.5,8m 43.5s,38.95689508,-95.27493332,Auto Takeoff,3.3,1.0,3.6,1.1,0.0,0.0,1.1,0.5,0.9,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.5,-3.3,-0.2,-174.7,185.3,1024,1024,1024,1024,1024,,,,,
43,523.6,8m 43.6s,38.95689514,-95.27493329,P-GPS,3.6,1.1,3.6,1.1,0.0,0.0,1.1,0.5,0.9,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.4,-3.4,-0.2,-174.6,185.4,1024,1024,1024,1024,1024,,,,,
44,523.7,8m 43.7s,38.95689517,-95.27493327,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,0.0,0.0,0.9,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.2,-3.5,0,-174.4,185.6,1024,1024,1024,1024,1024,,,,,
45,523.8,8m 43.8s,38.95689522,-95.27493322,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,1.1,0.5,1.0,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,-0.1,-3,0,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
46,523.9,8m 43.9s,38.95689525,-95.27493317,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,18,5,60,11.574,0.008,3.862,3.858,3.854,0,0,0,-2.7,0.4,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
47,524,8m 44s,38.95689527,-95.27493309,P-GPS,3.9,1.2,3.9,1.2,0.0,0.0,0.0,0.0,0.9,0.3,38.95689271,-95.27493322,19,5,60,11.574,0.008,3.862,3.858,3.854,0,0,0,-2.7,0.4,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
48,524.1,8m 44.1s,38.95689525,-95.27493301,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.574,0.008,3.862,3.858,3.854,0,0,0,-2.9,0.5,-174.2,185.8,1021,1024,1024,1024,1024,,,,,
49,524.2,8m 44.2s,38.95689525,-95.27493294,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.574,0.008,3.862,3.858,3.854,0,0,0,-2.7,0.6,-174.2,185.8,956,1024,1024,1024,1024,,,,,
50,524.3,8m 44.3s,38.95689524,-95.27493289,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,0.9,0.3,38.95689271,-95.27493322,19,5,60,11.574,0.008,3.862,3.858,3.854,0,0,0,-2.5,0.6,-174.1,185.9,877,1024,1024,1024,1024,,,,,
51,524.4,8m 44.4s,38.95689523,-95.27493285,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.6,0.5,-174.2,185.8,822,1024,1024,1024,1024,,,,,
52,524.5,8m 44.5s,38.95689521,-95.27493282,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,0.9,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.4,0.3,-174.2,185.8,807,1024,1024,1024,1024,,,,,
53,524.6,8m 44.6s,38.95689522,-95.27493279,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.4,-0.5,-174.1,185.9,790,1024,1024,1024,1024,,,,,
54,524.7,8m 44.7s,38.95689522,-95.27493276,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.4,-1.2,-174.1,185.9,782,1024,1024,1024,1024,,,,,
55,524.8,8m 44.8s,38.95689528,-95.27493267,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.5,-1.7,-174.1,185.9,803,1024,1024,1024,1024,,,,,
56,524.9,8m 44.9s,38.95689533,-95.27493256,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.4,-2.2,-174.1,185.9,871,1024,1024,1024,1024,,,,,
57,525,8m 45s,38.9568954,-95.2749324,P-GPS,3.9,1.2,4.3,1.3,0.0,0.0,0.0,0.0,1.1,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0,0,-1.5,-2.2,-174.1,185.9,961,1024,1024,1024,1024,,,,,
58,525.1,8m 45.1s,38.95689544,-95.2749322,P-GPS,3.9,1.2,4.3,1.3,0.2,0.1,0.0,0.0,1.1,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0.1,0,-1.5,-1.4,-174.1,185.9,1016,1024,1024,1024,1024,,,,,
59,525.2,8m 45.2s,38.95689552,-95.27493197,P-GPS,3.9,1.2,4.3,1.3,0.2,0.1,0.0,0.0,1.1,0.3,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0.1,0,-1.6,-0.8,-174.1,185.9,906,1024,1024,1024,1024,,,,,
60,525.3,8m 45.3s,38.95689559,-95.27493173,P-GPS,3.9,1.2,4.3,1.3,0.2,0.1,0.0,0.0,1.2,0.4,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0.1,0,-1.5,0,-174.2,185.8,574,1024,1024,1024,1024,,,,,
61,525.4,8m 45.4s,38.95689568,-95.27493147,P-GPS,3.9,1.2,4.3,1.3,0.2,0.1,0.0,0.0,1.2,0.4,38.95689271,-95.27493322,19,5,60,11.555,0.007,3.855,3.852,3.848,0,0.1,0,-1.4,0.5,-174.1,185.9,540,1024,1024,1024,1024,,,,,
62,525.5,8m 45.5s,38.95689576,-95.27493124,P-GPS,3.9,1.2,4.3,1.3,0.2,0.1,0.0,0.0,1.3,0.4,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0.1,0,-1.3,-5.5,-173.9,186.1,647,1024,1024,1024,1024,,,,,
63,525.6,8m 45.6s,38.95689585,-95.27493096,P-GPS,3.9,1.2,4.3,1.3,0.4,0.2,0.0,0.0,1.3,0.4,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0.2,0,-1.4,-9,-174,186,952,1024,1024,1024,1024,,,,,
64,525.7,8m 45.7s,38.95689593,-95.27493052,P-GPS,3.9,1.2,4.3,1.3,0.9,0.4,1.5,0.7,1.4,0.4,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0.4,0,-1.4,-9.2,-174,186,970,1024,1024,1024,1024,,,,,
65,525.8,8m 45.8s,38.95689602,-95.27492989,P-GPS,3.9,1.2,4.3,1.3,1.1,0.5,1.1,0.5,1.5,0.5,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0.5,0,-1.5,-3.1,-174.1,185.9,970,1024,1024,1024,1024,,,,,
66,525.9,8m 45.9s,38.95689611,-95.27492919,P-GPS,3.9,1.2,4.3,1.3,1.1,0.5,0.0,0.0,1.6,0.5,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0.5,0,-1.5,-2.3,-174,186,1024,1024,1024,1024,1024,,,,,
67,526,8m 46s,38.95689626,-95.27492839,P-GPS,3.9,1.2,4.3,1.3,1.1,0.5,1.5,0.7,1.9,0.6,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.5,0,-1.6,-1.5,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
68,526.1,8m 46.1s,38.95689641,-95.27492757,P-GPS,3.9,1.2,4.3,1.3,1.4,0.6,1.5,0.7,2.1,0.6,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.6,0,-1.6,1.5,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
69,526.2,8m 46.2s,38.95689664,-95.2749268,P-GPS,3.9,1.2,4.3,1.3,1.4,0.6,1.5,0.7,2.3,0.7,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.6,0,-2.3,4.9,-174.3,185.7,1024,1093,1024,1024,1024,,,,,
70,526.3,8m 46.3s,38.95689686,-95.27492615,P-GPS,3.9,1.2,4.3,1.3,1.1,0.5,1.5,0.7,2.5,0.8,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.5,0,-3.2,6.8,-174.3,185.7,1024,1082,1024,1024,1024,,,,,
71,526.4,8m 46.4s,38.95689714,-95.27492567,P-GPS,3.9,1.2,4.3,1.3,0.7,0.3,0.0,0.0,2.7,0.8,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.3,0,-2.6,3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
72,526.5,8m 46.5s,38.95689738,-95.2749253,P-GPS,3.9,1.2,4.3,1.3,0.5,0.2,1.5,0.7,2.8,0.9,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.2,0,-2.2,2,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
73,526.6,8m 46.6s,38.95689765,-95.27492507,P-GPS,3.9,1.2,4.3,1.3,0.7,0.3,0.0,0.0,2.9,0.9,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.3,0,-2,1.5,-174.1,185.9,1024,1024,1024,1024,924,,,,,
74,526.7,8m 46.7s,38.95689789,-95.27492486,P-GPS,3.9,1.2,4.3,1.3,0.5,0.2,0.0,0.0,3.0,0.9,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.2,0,-2.7,2.5,-174.2,185.8,1024,1024,1024,1024,766,,,,,
75,526.8,8m 46.8s,38.9568981,-95.27492475,P-GPS,3.9,1.2,4.3,1.3,0.5,0.2,0.0,0.0,3.1,0.9,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.2,0,-3.3,2.9,-174.3,185.7,1024,1024,1024,1024,720,,,,,
76,526.9,8m 46.9s,38.95689826,-95.27492468,P-GPS,3.9,1.2,4.3,1.3,0.3,0.1,0.0,0.0,3.1,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0.1,0.1,0,-3.5,2.4,-174.2,185.8,1024,1024,1024,1024,484,,,,,
77,527,8m 47s,38.95689839,-95.27492469,P-GPS,3.6,1.1,4.3,1.3,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0,0.2,-3.2,1.8,-174.3,185.7,1024,1024,1024,1024,461,,,,,
78,527.1,8m 47.1s,38.95689851,-95.2749247,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0,0.4,-2.8,1.3,-174.2,185.8,1024,1024,1024,1024,493,,,,,
79,527.2,8m 47.2s,38.95689859,-95.27492474,P-GPS,3.6,1.1,3.9,1.2,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0,0.5,-2.2,1.3,-174.3,185.7,1024,1024,1024,1024,640,,,,,
80,527.3,8m 47.3s,38.95689866,-95.27492477,P-GPS,3.3,1.0,3.6,1.1,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0,0.6,-2.1,1,-174.2,185.8,1024,1024,1024,1024,1024,,,,,
81,527.4,8m 47.4s,38.95689867,-95.27492479,P-GPS,3.0,0.9,3.6,1.1,0.0,0.0,0.0,0.0,3.3,1.0,38.95689271,-95.27493322,19,5,60,11.547,0.008,3.853,3.849,3.845,0,0,0.5,-2.3,0.6,-174.2,185.8,1024,1041,1024,1024,1024,,,,,
82,527.5,8m 47.5s,38.95689868,-95.27492481,P-GPS,3.0,0.9,3.3,1.0,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.532,0.008,3.848,3.844,3.84,0,0,0.4,-2.2,0.5,-174.2,185.8,1024,1245,1024,1024,1024,,,,,
83,527.6,8m 47.6s,38.95689868,-95.2749248,P-GPS,2.6,0.8,3.3,1.0,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.532,0.008,3.848,3.844,3.84,0,0,0.2,-2.3,0.2,-174.3,185.7,1024,1333,1024,1024,1024,,,,,
84,527.7,8m 47.7s,38.9568987,-95.2749248,P-GPS,2.6,0.8,3.3,1.0,0.0,0.0,0.0,0.0,3.2,1.0,38.95689271,-95.27493322,19,5,60,11.532,0.008,3.848,3.844,3.84,0,0,0.1,-3.3,0,-174.2,185.8,1024,1371,1024,1024,1024,,,,,
