Altitude,Speed,Battery,Wind Speed,GPS Signal,Obstacle Distance,Motor Health,IMU Stability,Temperature,Crash
203,37,59,16,-63,27,69,0.40893534366781137,20,0
69,2,64,18,-68,13,78,0.41151514232894393,54,0
133,8,53,17,-82,17,67,0.28071618146020594,15,0
234,33,86,17,-44,3,79,0.9333823906630125,13,0
202,13,20,21,-41,4,97,0.6838768403566297,18,0
127,34,40,0,-98,47,53,0.07719152355845504,54,0
259,20,26,16,-45,28,55,0.3399425543968111,37,0
199,45,67,8,-91,33,95,0.11488944765504738,42,0
76,48,45,12,-67,41,98,0.41475625337669864,39,0
298,30,72,9,-94,49,55,0.7434952015346123,52,0
75,23,77,17,-83,30,66,0.4345070726193513,27,0
104,40,26,7,-53,11,80,0.16569794620046097,28,0
39,18,5,6,-81,39,51,0.42512086480512823,54,1
281,38,48,17,-47,42,90,0.766959355471016,28,0
110,21,23,7,-59,4,55,0.3059151170232819,31,1
142,32,54,23,-93,30,74,0.8762117182516719,27,0
48,41,10,17,-44,40,78,0.27833792920749845,23,0
276,6,54,17,-88,14,93,0.15239701171684106,18,0
153,8,45,19,-50,39,87,0.9357788381646449,47,0
116,18,61,21,-48,34,54,0.833175791670815,23,0
94,15,17,8,-43,23,52,0.7409107613441662,25,0
141,34,18,2,-100,21,76,0.9793233880707637,36,0
211,44,43,18,-53,26,67,0.8158974218909768,40,0
163,23,90,18,-87,20,99,0.718708296511038,38,0
99,4,28,9,-98,33,73,0.8462782286140075,34,0
258,15,57,21,-78,24,58,0.48266068892388747,31,0
123,34,58,13,-51,48,89,0.0715875411895962,11,0
241,1,18,22,-49,33,63,0.7599469706590498,32,0
28,48,48,22,-74,13,59,0.1370628451702789,56,0
17,28,66,23,-82,14,79,0.21525254612873346,53,0
228,20,52,7,-52,30,71,0.4613162927335549,44,0
272,29,23,13,-97,33,81,0.7655693353198838,39,0
14,17,21,18,-85,40,50,0.5082470170144867,28,0
189,21,22,13,-45,44,96,0.9807448905453833,38,0
249,19,99,5,-52,44,53,0.2125883579870823,22,0
284,26,48,16,-52,12,81,0.6443141151770273,37,0
238,42,74,7,-86,6,94,0.5958781660284547,34,0
243,36,30,15,-41,10,67,0.10245631308448988,11,0
182,21,76,7,-70,28,91,0.8594903975847656,33,0
122,38,66,21,-78,32,85,0.3314376372006381,11,0
252,29,92,10,-86,38,79,0.7485353064610774,48,0
193,31,13,10,-44,1,69,0.6938024208241641,40,0
235,41,23,20,-80,21,87,0.2617413047471201,37,1
253,31,64,20,-48,5,82,0.9986463375021867,50,0
199,2,85,19,-52,34,84,0.48019736390559253,11,0
130,42,33,20,-73,36,63,0.10509117077990993,40,0
74,35,30,17,-56,7,86,0.37889909163374014,33,1
129,34,81,0,-49,7,65,0.7423180195082747,48,0
177,46,59,1,-60,1,70,0.5127640238363869,30,0
184,9,44,8,-89,13,82,0.6111222932792605,23,0
41,20,18,13,-87,22,71,0.4104787142818275,24,0
146,4,23,14,-74,30,99,0.7897542979889343,22,0
147,16,64,15,-48,45,98,0.43973991547607627,22,0
233,41,63,5,-52,37,71,0.46751692089108166,17,0
120,13,99,20,-60,5,65,0.6356341634045527,29,0
186,22,25,3,-99,26,81,0.8015198676943972,31,0
68,6,72,2,-41,14,75,0.26941641517881143,32,1
68,26,81,8,-46,35,90,0.37483128442938063,13,0
51,48,26,14,-74,48,52,0.39854962915763137,20,1
240,10,89,11,-99,44,59,0.9273366195773448,21,0
122,25,67,24,-95,37,61,0.5683943301048261,54,0
197,42,80,2,-47,9,55,0.10890967648005934,59,0
284,26,15,16,-53,8,80,0.09240002080305887,58,0
159,24,87,9,-97,7,88,0.09452326104891506,28,0
96,12,31,15,-71,34,76,0.7609034088482949,45,0
161,7,70,7,-61,14,51,0.616843255792932,40,0
146,8,16,22,-79,37,83,0.3481318841069757,25,0
261,1,31,6,-67,38,83,0.957587071721759,12,0
208,21,50,23,-43,24,87,0.8402200894836372,26,0
128,13,17,23,-61,40,53,0.8661255541634489,24,0
46,2,69,13,-97,22,65,0.2519907458954258,41,0
182,34,78,11,-57,47,58,0.39622291641197827,59,0
202,17,1,22,-46,47,55,0.1857815933028618,50,0
242,44,70,22,-100,27,92,0.2038667251201729,20,0
70,40,18,20,-93,46,55,0.7406071223464915,28,0
24,37,16,18,-63,15,99,0.8276182436008684,37,0
120,3,44,23,-60,3,75,0.08903230982761967,17,0
243,42,66,11,-71,20,54,0.6869080764071265,28,0
163,37,53,17,-68,6,54,0.5776577212826931,49,0
269,27,22,12,-86,1,53,0.7766470528122383,11,0
180,20,27,18,-71,28,96,0.39646535480530765,26,0
10,12,6,8,-91,25,91,0.34570881284556754,44,0
154,35,71,11,-100,24,60,0.7965592915503299,46,0
80,42,41,18,-95,5,54,0.011860470430201109,26,0
78,26,77,11,-71,48,53,0.8543329536697032,33,0
138,39,50,12,-47,18,52,0.04814380531905249,12,0
92,11,17,21,-84,9,59,0.10079361522470431,24,0
13,15,17,10,-50,34,99,0.26842901408065833,24,0
232,42,97,5,-62,44,53,0.7389953301943318,15,0
202,49,66,2,-87,23,94,0.25358756495508283,10,0
190,18,85,13,-45,33,86,0.8619734289117554,40,0
66,32,12,20,-87,6,95,0.5056218382948944,50,0
157,43,13,14,-65,3,50,0.5090759854766508,22,0
106,9,15,21,-73,5,71,0.2896255761473824,20,0
147,10,75,19,-84,45,76,0.621534080559183,41,0
257,9,28,10,-56,20,80,0.29464551349735846,26,0
245,16,74,14,-61,40,99,0.6207733357154827,12,0
255,19,59,10,-73,45,93,0.46326963302486124,53,1
180,10,81,20,-92,25,92,0.7597022797210983,38,0
78,26,45,18,-78,9,89,0.6178842311140035,16,0
235,47,41,24,-41,25,78,0.5918421389481955,56,0
216,48,97,3,-76,14,75,0.7091040411829808,43,0
83,10,48,15,-75,45,63,0.8507311712360174,43,0
287,7,24,23,-77,33,99,0.8701488403172505,29,0
97,29,59,9,-45,9,65,0.14827154043995683,50,0
21,6,43,23,-41,43,51,0.8120334587933579,42,1
17,6,26,22,-56,26,78,0.34970735503496786,17,0
277,25,12,5,-52,4,53,0.897292241680685,54,0
282,49,35,0,-69,19,66,0.36844882492387887,12,1
106,33,78,14,-43,41,78,0.5401233498325034,55,1
107,18,34,1,-49,15,53,0.4603320915239505,23,0
99,1,6,23,-89,21,90,0.18616860258535806,37,0
52,35,99,21,-87,48,52,0.16152640114023775,45,0
215,47,23,23,-42,2,68,0.10893192128110807,44,0
191,34,43,13,-87,4,78,0.011491176362033118,41,0
181,23,57,23,-59,17,72,0.9914633495011342,16,0
96,48,33,18,-88,47,55,0.7015113872597873,48,0
113,39,55,0,-60,40,83,0.9823278797635444,19,0
144,38,67,17,-92,1,54,0.8090151285116515,38,0
61,35,31,12,-75,23,62,0.9186283626693366,59,0
223,3,99,20,-80,36,65,0.32819884479923,18,0
101,8,71,3,-99,43,84,0.421799066723499,45,0
78,19,6,0,-77,41,60,0.8240319325665167,26,0
125,35,47,17,-78,36,75,0.13617538767269066,24,0
150,47,81,0,-88,5,92,0.3767498971037443,23,0
171,19,67,2,-53,23,96,0.9133090165985015,14,0
204,29,45,15,-84,24,61,0.7571491479605251,54,0
229,26,66,12,-46,32,55,0.6867500333194317,35,0
259,15,4,12,-84,43,83,0.8245004891590274,26,0
276,2,68,1,-54,12,63,0.22308648722168067,56,0
171,45,86,15,-45,35,67,0.6326350475137386,33,0
231,18,23,20,-79,27,68,0.2070592782627776,20,0
287,1,47,8,-90,22,60,0.9847499387787604,44,0
135,15,4,10,-46,22,52,0.016989346175228626,27,1
160,6,26,2,-46,21,73,0.493484769123927,59,0
208,7,26,7,-54,42,88,0.14724020468122334,22,0
234,14,12,8,-95,45,55,0.27168314037971975,19,0
152,32,57,10,-99,47,83,0.04906458823399562,33,0
152,32,79,24,-45,15,55,0.36666473930630306,11,0
230,27,89,13,-65,25,78,0.2846570549733989,31,0
145,24,6,3,-99,8,56,0.011622092900565484,57,0
85,7,12,6,-51,48,87,0.6698132422597681,23,0
160,3,64,24,-92,48,54,0.4473257932965772,23,0
60,41,5,11,-69,28,66,0.6241435631495594,30,0
138,42,97,22,-61,22,52,0.9098335864857979,59,0
283,41,89,0,-83,36,79,0.24516541065412334,25,0
238,9,25,1,-93,45,75,0.03378934182040294,58,0
283,6,24,9,-93,32,98,0.5698894146260389,27,0
117,7,67,7,-91,42,72,0.3300514742285099,21,0
196,1,34,3,-43,24,64,0.005078518046045977,23,0
14,46,40,5,-43,22,54,0.7099654625188674,12,0
42,48,95,8,-63,46,83,0.03562786802164675,55,0
14,13,91,21,-99,3,71,0.2131082196646017,11,0
240,22,85,5,-53,14,87,0.5203299586862878,57,0
70,37,50,12,-65,29,73,0.380721536665693,53,0
34,34,21,3,-96,29,61,0.27249793488522533,26,0
181,8,71,8,-50,31,82,0.9840646387736447,26,1
205,1,43,10,-88,31,93,0.6341722976333983,50,0
187,13,58,15,-68,44,53,0.5579749322196405,27,0
132,3,93,18,-46,39,54,0.09444274603420233,43,0
163,33,45,16,-77,44,59,0.21106383215666036,56,0
130,35,15,10,-57,35,88,0.8410371306063057,38,0
143,33,77,4,-59,46,51,0.3402814623371586,47,0
35,35,86,14,-54,39,83,0.049406652257078965,19,1
95,9,9,3,-90,28,77,0.24384973290801448,25,0
83,16,69,4,-59,30,56,0.5519312074632933,33,0
108,13,91,9,-72,49,90,0.0927240458369184,14,0
214,33,25,17,-56,36,90,0.03822232284624216,52,1
109,8,73,21,-78,31,84,0.9741491439521958,34,0
133,27,99,11,-87,12,51,0.035503252030776644,36,0
264,14,56,10,-62,18,82,0.01444470923850183,32,0
80,7,82,22,-73,8,89,0.6578475722541485,31,0
287,24,17,18,-93,33,62,0.7662485620494559,52,0
140,22,76,19,-55,1,75,0.2389134427681603,26,0
82,19,94,7,-79,21,72,0.494253369848363,45,0
244,1,10,9,-58,20,70,0.4773150122395253,45,0
62,11,26,7,-95,21,64,0.456644752612558,23,0
173,19,80,6,-43,27,87,0.77034477800748,21,0
100,17,47,8,-77,8,74,0.45584879273317847,19,0
249,22,15,9,-64,11,72,0.32738218423989984,44,0
291,37,51,11,-66,48,90,0.038604904498184434,17,0
27,28,34,19,-49,38,76,0.008464193074503412,24,0
140,4,55,5,-58,17,82,0.40835206331136964,41,0
24,40,94,17,-81,49,72,0.3019927581260551,15,0
109,7,89,5,-63,12,56,0.28989852475415623,42,1
129,1,60,13,-72,46,72,0.6240677552940646,16,0
42,34,90,4,-97,9,54,0.6119657829936472,56,0
170,3,40,5,-77,37,53,0.9006260157747323,57,0
292,10,74,7,-42,7,80,0.3979887001958923,52,0
96,25,87,17,-72,21,81,0.9436197314412157,59,1
146,8,53,7,-82,47,56,0.32576273724166616,39,0
283,42,5,12,-50,2,83,0.47362792205366133,35,0
201,32,42,24,-92,2,80,0.26393691123456686,55,0
93,37,21,22,-68,24,52,0.4454643249517859,40,0
33,40,95,24,-50,5,95,0.2328685266674384,27,1
124,43,24,2,-48,47,93,0.9194292896723857,24,0
259,16,72,5,-100,18,92,0.6838222899947178,25,0
240,31,58,1,-73,43,57,0.803048559878982,52,0
74,26,64,1,-96,21,99,0.351667625935807,29,0
200,32,21,21,-86,35,89,0.9360906272570334,43,0
217,1,3,1,-91,15,89,0.28139822556793115,40,1
80,40,89,10,-53,36,52,0.5770984722864514,53,0
37,4,47,9,-87,25,53,0.719491541744711,42,0
144,30,45,16,-81,2,70,0.25377209023566194,40,0
166,29,77,16,-94,15,91,0.541933003295043,40,0
23,11,77,2,-84,47,84,0.748458140333105,40,0
77,49,24,21,-96,39,74,0.5204516900346846,54,0
210,38,46,11,-68,31,66,0.7523507804891797,13,0
281,10,52,9,-48,29,63,0.9411985088346728,42,0
246,11,73,9,-86,17,94,0.7941232110293216,14,0
88,7,93,5,-91,5,91,0.18513789699046856,27,0
162,9,46,19,-71,35,72,0.5972774302187888,37,1
253,20,71,14,-53,1,83,0.8199511618037085,58,0
197,22,83,13,-45,35,89,0.11812957906017507,37,0
206,27,3,24,-87,28,63,0.1424476855754262,31,0
206,31,14,22,-93,18,82,0.6471089668649631,53,0
127,3,73,5,-98,29,76,0.22036968954030733,58,0
105,28,1,22,-90,26,70,0.3345122826488732,45,0
10,9,77,8,-53,48,92,0.34756527918843405,24,0
25,9,92,6,-81,48,92,0.8310230074715104,22,0
64,41,65,3,-83,11,82,0.9117652390260931,16,0
84,49,92,10,-74,44,52,0.28442252983747207,37,0
57,2,50,17,-65,47,62,0.1640461435079178,11,0
228,29,75,7,-70,26,93,0.571087595769731,28,0
203,14,23,15,-97,5,79,0.8362353815320118,10,0
100,21,63,16,-88,14,94,0.18227546114498494,56,0
235,13,28,4,-63,20,88,0.09281045772119545,28,0
234,38,39,10,-71,10,68,0.5852425302959124,33,0
294,13,14,0,-87,49,95,0.8918630042622979,39,0
266,15,85,8,-49,4,56,0.17720535491910094,30,0
158,11,23,6,-41,39,96,0.9174979505522964,31,0
10,38,82,23,-95,8,92,0.06008061200755754,19,0
250,9,38,17,-92,44,71,0.11441149099402914,33,0
218,6,10,3,-52,24,75,0.7000146390933426,19,0
59,25,44,8,-58,23,58,0.752367001247359,30,0
168,7,19,16,-58,37,69,0.6737977120157986,43,0
103,42,23,22,-94,12,63,0.4132586825680674,37,0
271,38,60,17,-51,4,90,0.8165835392397682,32,0
17,46,89,3,-60,7,80,0.044603666221790905,44,0
138,17,97,22,-66,5,64,0.3848321923050625,42,0
48,45,27,10,-64,22,93,0.9276455594021985,51,0
46,12,77,21,-77,4,83,0.732233274151531,29,0
235,25,71,15,-49,7,99,0.7165214792670282,48,0
222,49,12,5,-46,41,67,0.7320149181603998,14,0
195,8,40,2,-64,42,71,0.3612830914162761,34,0
139,1,9,3,-67,42,63,0.32897567844578524,38,0
190,36,9,15,-57,9,85,0.7010457435362607,56,0
114,35,34,23,-66,31,83,0.29836425031333946,27,0
76,15,17,10,-69,23,82,0.3333310522569677,25,0
56,28,48,7,-54,11,66,0.6758149877338648,12,0
159,8,29,0,-91,15,91,0.6157621349037657,23,0
202,49,80,8,-99,10,81,0.9786338637098967,10,0
232,46,83,13,-94,38,70,0.19842149158181166,46,0
217,28,31,10,-91,9,57,0.6272817063027554,17,0
141,7,92,10,-99,12,64,0.09733458930738759,23,0
42,24,49,10,-61,30,59,0.4400989427667087,41,1
107,3,33,11,-72,15,60,0.81589589880425,54,0
163,19,4,22,-62,3,60,0.018700172074862298,47,1
14,40,76,13,-89,34,68,0.7525792868630082,26,0
17,11,66,2,-90,39,58,0.8746571017756192,43,0
280,23,10,5,-61,20,95,0.5039400185570222,56,0
153,24,79,9,-80,42,64,0.34120568917406,16,1
154,18,95,8,-60,9,53,0.6740848641125728,39,1
229,35,99,7,-85,45,59,0.4780278594385956,34,0
206,29,25,14,-69,29,95,0.07729020765764216,42,0
295,49,87,14,-55,32,90,0.050610773228837336,19,0
156,20,72,19,-76,8,74,0.5857737299723058,21,0
37,16,87,14,-98,16,64,0.5677531738050953,53,0
158,44,12,12,-64,43,78,0.679991952820764,48,0
81,37,92,2,-42,6,81,0.8267749080344131,37,0
251,26,90,13,-93,11,88,0.8781761774004007,42,0
163,45,29,1,-80,25,81,0.35536344830459055,53,0
191,16,31,19,-91,22,61,0.7417505773651876,37,0
84,19,32,12,-73,2,88,0.3982367781077534,55,0
294,9,95,18,-42,8,83,0.9906801495120725,16,0
187,18,78,3,-70,27,56,0.24158674710229755,44,0
79,42,1,22,-83,3,67,0.7163668535855798,23,1
250,21,14,2,-50,12,83,0.06539876328135097,43,0
262,32,26,14,-66,20,99,0.9131012535983699,13,0
167,44,46,22,-76,35,54,0.3594746681704044,52,0
196,41,9,3,-81,37,62,0.5693695372998027,52,0
215,35,24,1,-44,23,76,0.6012199261921324,43,0
10,16,99,10,-68,5,75,0.18438521481196646,34,0
247,41,16,0,-83,31,53,0.005106394341404141,37,0
78,41,74,5,-42,26,71,0.16937154844823843,56,0
126,8,81,7,-73,21,69,0.07106472746960002,45,0
20,46,92,9,-83,14,70,0.7752120263395258,53,0
177,33,76,7,-99,8,55,0.8766766468441406,30,0
265,5,57,1,-96,37,68,0.5237150094275017,42,0
248,35,26,11,-94,48,66,0.8247967318866705,58,0
33,35,23,21,-45,5,73,0.3982139949568754,57,0
22,34,30,6,-94,13,78,0.14471530101925445,32,0
222,40,94,0,-78,16,54,0.2910927243538791,48,0
73,16,79,9,-48,10,79,0.9229603621632413,44,0
167,49,40,7,-98,15,81,0.6998428416319278,19,0
31,13,65,14,-68,39,90,0.5141281362820096,19,0
81,24,91,4,-51,39,50,0.3873673755017918,14,0
140,41,66,15,-56,38,79,0.47996165432988824,35,1
63,6,76,20,-94,8,93,0.7878833198543588,17,0
26,8,47,19,-48,14,83,0.7880754318505324,25,0
84,29,33,17,-57,4,60,0.3090181626255972,57,0
155,43,49,12,-53,19,81,0.35680314281153014,12,0
232,13,32,10,-63,14,87,0.20532374957035526,50,0
234,11,96,3,-97,18,70,0.9759226300547827,34,0
222,5,27,6,-88,2,60,0.14746728498657835,56,0
229,36,57,10,-82,10,86,0.5023886602381457,20,0
123,1,62,24,-64,14,52,0.2979621150724041,59,0
232,37,3,3,-66,8,78,0.09181934495961375,19,0
151,46,12,6,-90,8,90,0.11207687702016855,34,0
185,28,14,15,-80,3,89,0.6609911071653972,39,0
82,39,13,20,-55,26,67,0.6188607158255603,59,0
209,8,81,13,-90,25,53,0.8955274738114211,38,0
187,47,31,4,-49,6,51,0.17310902328222666,39,0
270,22,97,23,-88,10,53,0.8135174663574777,39,0
47,33,93,3,-71,25,64,0.35603061891109455,47,0
269,38,55,17,-50,20,67,0.7100159994951175,47,0
225,45,26,14,-57,8,83,0.05167602163346818,45,0
221,11,22,12,-86,35,51,0.1873076480974375,13,0
157,4,77,1,-72,24,75,0.385759085763957,37,0
119,25,85,1,-81,24,73,0.06933691231193995,55,0
163,19,49,17,-79,28,84,0.5372795112657388,22,0
15,23,67,15,-42,21,63,0.11176621771251094,42,0
200,2,83,2,-57,40,85,0.4575433631850935,23,0
198,12,23,7,-91,26,50,0.788329402263332,30,0
87,49,74,13,-98,35,68,0.9667514411452274,12,0
47,6,53,4,-87,38,59,0.6252517872215482,35,0
264,35,58,22,-85,10,83,0.5477919411448896,15,0
30,30,95,5,-62,29,55,0.6914542349406071,30,0
237,39,96,2,-78,4,95,0.31864021080234495,17,0
264,13,11,13,-61,20,85,0.5092358068563506,55,0
134,5,81,1,-77,10,53,0.43829492521984015,34,0
126,6,93,23,-42,25,59,0.5400429289880778,39,0
148,35,92,24,-47,2,67,0.1728331526508542,31,0
104,22,14,12,-65,12,67,0.48303675831839943,22,0
270,5,85,20,-57,42,62,0.10329215924266999,54,0
241,13,18,15,-79,35,83,0.2192657863319003,14,0
93,46,40,16,-98,21,85,0.11818415347190991,23,0
106,40,40,13,-51,24,84,0.6873278194716317,25,0
165,44,78,10,-82,17,66,0.5346101950910186,51,0
228,21,13,10,-45,34,56,0.2751278673217957,32,0
95,8,78,16,-46,37,92,0.3245216528746656,29,0
53,31,90,13,-61,26,55,0.6280076943100522,56,0
290,2,34,21,-49,38,95,0.0250885215810277,16,0
217,34,34,1,-75,34,57,0.9959481316077063,50,0
64,8,20,20,-76,49,51,0.8492938613746324,42,0
99,43,49,2,-44,9,72,0.7772322952138888,22,0
31,31,74,11,-56,35,68,0.8665243959244241,11,0
127,19,78,22,-75,12,58,0.5154785361653954,57,0
248,27,15,15,-98,12,57,0.5961716229213568,45,0
218,37,45,21,-51,17,60,0.9419538317130026,11,0
141,6,87,23,-82,7,82,0.2074917541481518,12,0
189,46,91,4,-60,16,87,0.3274467491692571,55,0
63,27,8,15,-94,22,75,0.9018117513423494,54,0
298,31,73,12,-96,48,67,0.08963859443137812,32,0
293,46,89,5,-92,22,99,0.20201797561002255,43,0
33,31,13,21,-61,24,58,0.4399627737095758,28,0
234,14,13,20,-55,49,64,0.766039446344013,48,0
247,41,90,2,-70,48,62,0.6085581963418937,40,0
121,26,68,2,-90,41,75,0.5958892183946991,58,0
256,31,39,23,-60,7,97,0.43326545832382934,36,0
277,41,14,3,-82,24,67,0.9677249738017881,37,0
164,1,70,6,-96,46,95,0.7477758963725966,40,0
259,37,51,23,-52,35,53,0.5236916378608499,38,0
102,40,24,19,-83,32,63,0.8000111151625917,54,0
197,3,75,8,-99,39,57,0.03415644003390894,33,0
133,4,95,17,-57,30,99,0.5799049189414759,46,1
154,7,98,2,-99,43,58,0.12226647337792995,58,0
234,26,1,1,-100,24,54,0.009122774130244315,33,1
195,16,20,5,-78,9,73,0.3797132188080037,52,0
122,41,65,4,-57,48,97,0.9858771924891514,33,0
243,10,13,16,-80,33,72,0.8950310368743528,18,0
129,1,92,17,-68,25,63,0.9783511056423372,18,0
112,44,8,17,-94,35,58,0.7274606730208204,18,0
33,25,85,11,-87,4,93,0.9899255218586097,44,0
275,22,93,2,-96,33,80,0.4257604278447551,51,0
282,34,48,9,-84,29,52,0.6983217680031643,21,0
225,49,1,19,-64,38,94,0.40898490353548445,50,0
223,24,11,3,-76,48,86,0.43684445512742986,43,0
76,38,8,10,-92,18,87,0.6486460945657296,22,0
34,16,52,12,-50,9,96,0.002195218461797377,30,0
98,9,36,9,-44,23,76,0.44215850303458915,36,0
280,24,54,3,-63,45,87,0.6725782413722867,20,0
174,35,73,10,-53,40,52,0.9913295087825529,20,0
26,7,15,23,-58,16,71,0.03552964947713355,59,0
178,26,86,13,-53,12,77,0.531994714599051,51,0
177,39,65,19,-94,10,71,0.5386559807556608,32,0
105,14,3,22,-54,40,82,0.9552087681378767,21,0
177,45,24,13,-71,41,99,0.20115452298160785,33,0
74,1,67,12,-73,41,90,0.660917502786777,50,0
281,19,67,8,-70,26,83,0.29197966807161535,52,0
135,26,66,6,-80,35,89,0.43937962964834554,21,0
125,25,27,18,-99,5,84,0.4411514526197158,49,0
169,6,22,4,-72,43,65,0.8756695821737112,44,0
171,43,19,13,-91,3,82,0.0014619270960763986,38,0
219,15,82,24,-90,9,71,0.02159731570809187,10,0
222,36,26,1,-60,25,77,0.49469075849388033,32,0
283,26,18,16,-47,17,79,0.4418625690367519,35,0
